ST_NM,year,rain_mean_mm
Gujarat,2017,832.099444142381
Gujarat,2018,483.9192547794417
Gujarat,2019,1074.322786457923
Gujarat,2020,1112.4856361768364
Gujarat,2021,796.2228019780059
Gujarat,2022,940.916806487647
Gujarat,2023,903.2528390813485
Gujarat,2024,1138.2066650390625
Haryana,1966,716.017553875538
Haryana,1967,807.4948034583376
Haryana,1968,496.37295801226907
Haryana,1969,517.2841090017787
Haryana,1970,568.5129953732858
Haryana,1971,701.7759852365806
Haryana,1972,461.38399495895095
Haryana,1973,556.2063727700939
Haryana,1974,386.3617584447448
Haryana,1975,631.2433063915142
Haryana,1976,700.9714916121501
Haryana,1977,734.4290749744727
Haryana,1978,668.8596203024571
Haryana,1979,376.35082534322373
Haryana,1980,518.1502155682215
Haryana,1981,491.5064898034701
